id,date,publication,author,headline,items
1387,2021-07-09,Hindustan Times,Bureau,India set to contest Paris order on Cairn,"Cairn Energy, arbitration"
1388,2021-07-09,The Economic Times,Editorial,Settle With Cairn And Move On,"Cairn Energy, arbitration"
1389,2021-07-09,Business Standard,Editorial,Humiliating seizure,"Cairn Energy, arbitration"
1390,2021-07-09,The Times Of India,Editorial,Bury The 2012 Legacy,"Cairn Energy, retrospective tax, arbitration"
1391,2021-07-10,The Indian Express,Editorial,Unease of business,"Cairn Energy, arbitration"
1392,2021-07-10,The Asian Age,Editorial,"Shed moral high ground, time to level with Cairn","Cairn Energy, arbitration"
1393,2021-07-10,Deccan Chronicle,Editorial,"Shed moral high ground, time to level with Cairn","Cairn Energy, arbitration"
1394,2021-07-10,Free Press,Editorial,A global humiliation,"Cairn Energy, arbitration"
1395,2021-07-10,The Tribune,Editorial,Cairn Energy row,"Cairn Energy, retrospective tax, arbitration"
1396,2021-07-10,The Free Press Journal,Editorial,A global humiliation,"Cairn Energy, arbitration"
1397,2021-07-10,Business Standard, T N Ninan,Home and abroad,arbitration
1398,2021-07-10,The Indian Express, Apurva vishwanath,Seizure of assets overseas,"Cairn Energy, retrospective tax, arbitration"
1399,2021-07-10,The Economic Times, Deepshikha Sikarwar,Govt Mulls Legal Changes to Settle Cairn Tax Issue,"Cairn Energy, arbitration"
1400,2021-07-10,The Pioneer,Letters,Letters To The Editor,"Cairn Energy, arbitration"
1401,2021-07-12,The Economic Times, Kala Vijayraghavan,Tata Group may Ask for Indemnity Clause in AI Deal,"Cairn Energy, arbitration"
1402,2021-07-12,The Financial Express,Bureau,Cairn gets French court order to seize 20 Indian properties in Paris,"Cairn Energy, arbitration"
1403,2021-07-12,The Economic Times, Kala Vijayraghavan,Tata Group may Add an Indemnity Clause to AI Deal,"Cairn Energy, arbitration"
1404,2021-07-12,The Economic Times, Kala Vijayraghavan,Tata Group may Add an Indemnity Clause to AI Deal.,"Cairn Energy, arbitration"
1405,2021-07-12,The Financial Express,Bureau,Get out of the Cairn arbitration loop,"Cairn Energy, arbitration"
1406,2021-07-12,The Tribune,Letters,Cairn case,"Cairn Energy, arbitration"
1407,2021-07-12,The Financial Express,Letters,Letters To The Editor,"Cairn Energy, arbitration"
1408,2021-07-12,Mint,Author,Cairns case and the wages of retroactive tax legislation,"Cairn Energy, arbitration"
1409,2021-07-13,The Economic Times,Author,"Cairn, A Reputational Story","Cairn Energy, arbitration"
1410,2021-07-13,The Economic Times, Alnoor Peermohamed,Antrix Asks US Court to Stop Devas,"Cairn Energy, arbitration"
1411,2021-07-14,Business Standard, Dilasha Seth ,Over 400 top-level posts lie vacant in I-T dept,arbitration
1412,2021-07-14,The Times Of India,Bureau,"Let Go, BIT By BIT","Cairn Energy, retrospective tax, arbitration"
1413,2021-07-14,The Times Of India,Author,"Let Go, BIT By BIT.","Cairn Energy, retrospective tax, arbitration"
1414,2021-07-15,The Statesman,Letters,Letters to the editor,"Cairn Energy, arbitration"
1415,2021-07-17,Deccan Herald,Editorial,A continuing embarrassment,"Cairn Energy, retrospective tax, arbitration"
1416,2021-07-17,The Indian Express,Editorial,Misstep On Cairn,"Cairn Energy, arbitration"
1417,2021-07-17,The Economic Times, Deepshikha Sikarwar,Govt Looking into Paris Asset Freeze Secured by Cairn.,"Cairn Energy, arbitration"
1418,2021-07-17,The Economic Times, Deepshikha Sikarwar,Govt Looking into Paris Asset Freeze Secured by Cairn,"Cairn Energy, arbitration"
1419,2021-07-19,Business Standard,Author,Four fatal failures,"Cairn Energy, arbitration"
1420,2021-07-20,Business Standard, Sudipto Dey,Riders to invoking sovereign immunity,"Cairn Energy, arbitration"
